"","samples","number"
"1","P1","24"
"2","P102","51"
"3","P103","28"
"4","P105","19"
"5","P106","17"
"6","P107","1"
"7","P113","10"
"8","P114","3"
"9","P118","10"
"10","P119","28"
"11","P121","21"
"12","P122","5"
"13","P124","30"
"14","P125","13"
"15","P127","9"
"16","P130","8"
"17","P131","31"
"18","P137","12"
"19","P142","12"
"20","P146","21"
"21","P150","4"
"22","P156","4"
"23","P158","10"
"24","P16","8"
"25","P164","1"
"26","P166","3"
"27","P172","1"
"28","P174","9"
"29","P179","7"
"30","P18","5"
"31","P180","46"
"32","P182","35"
"33","P184","5"
"34","P189","13"
"35","P190","12"
"36","P192","5"
"37","P199","8"
"38","P2","9"
"39","P20","21"
"40","P200","14"
"41","P201","15"
"42","P204","8"
"43","P205","22"
"44","P209","5"
"45","P213","12"
"46","P218","14"
"47","P221","7"
"48","P226","14"
"49","P227","6"
"50","P23","5"
"51","P24","3"
"52","P243","8"
"53","P247","2"
"54","P248","2"
"55","P249","3"
"56","P258","1"
"57","P259","11"
"58","P26","24"
"59","P261","8"
"60","P264","3"
"61","P265","1"
"62","P266","22"
"63","P267","3"
"64","P268","8"
"65","P270","5"
"66","P273","13"
"67","P277","3"
"68","P278","3"
"69","P280","3"
"70","P281","6"
"71","P282","1"
"72","P285","7"
"73","P286","8"
"74","P287","13"
"75","P288","2"
"76","P289","94"
"77","P291","6"
"78","P298","7"
"79","P3","3"
"80","P304","8"
"81","P309","10"
"82","P31","45"
"83","P312","25"
"84","P32","10"
"85","P321","7"
"86","P322","10"
"87","P323","12"
"88","P328","2"
"89","P329","7"
"90","P33","17"
"91","P334","3"
"92","P337","13"
"93","P339","1"
"94","P34","27"
"95","P340","1"
"96","P346","2"
"97","P347","7"
"98","P349","9"
"99","P35","8"
"100","P36","6"
"101","P365","3"
"102","P367","3"
"103","P368","4"
"104","P372","9"
"105","P380","1"
"106","P387","6"
"107","P389","29"
"108","P39","3"
"109","P390","6"
"110","P391","30"
"111","P394","3"
"112","P395","18"
"113","P399","21"
"114","P4","5"
"115","P402","1"
"116","P403","5"
"117","P404","6"
"118","P405","2"
"119","P407","3"
"120","P412","2"
"121","P414","10"
"122","P416","8"
"123","P417","3"
"124","P418","9"
"125","P420","3"
"126","P423","25"
"127","P427","1"
"128","P428","18"
"129","P43","30"
"130","P432","6"
"131","P44","25"
"132","P445","16"
"133","P45","13"
"134","P453","15"
"135","P454","15"
"136","P457","3"
"137","P459","2"
"138","P46","18"
"139","P462","11"
"140","P463","1"
"141","P464","6"
"142","P467","2"
"143","P469","15"
"144","P47","34"
"145","P470","25"
"146","P471","3"
"147","P472","14"
"148","P473","19"
"149","P477","5"
"150","P481","27"
"151","P482","31"
"152","P485","15"
"153","P486","4"
"154","P491","18"
"155","P494","1"
"156","P498","1"
"157","P5","41"
"158","P509","11"
"159","P510","18"
"160","P511","14"
"161","P520","26"
"162","P523","23"
"163","P524","6"
"164","P525","5"
"165","P527","3"
"166","P528","28"
"167","P53","25"
"168","P533","3"
"169","P540","21"
"170","P550","12"
"171","P567","13"
"172","P57","22"
"173","P574","5"
"174","P579","15"
"175","P58","6"
"176","P587","22"
"177","P592","7"
"178","P595","3"
"179","P6","4"
"180","P63","66"
"181","P64","9"
"182","P66","3"
"183","P69","13"
"184","P70","12"
"185","P71","2"
"186","P73","4"
"187","P74","2"
"188","P9","15"
"189","P90","5"
"190","P92","4"
"191","P93","3"
"192","P96","30"
"193","P115","0"
"194","P161","0"
"195","P168","0"
"196","P185","0"
"197","P206","0"
"198","P207","0"
"199","P233","0"
"200","P234","0"
"201","P235","0"
"202","P257","0"
"203","P279","0"
"204","P296","0"
"205","P325","0"
"206","P496","0"
"207","P502","0"
"208","P59","0"
"209","P67","0"
"210","P68","0"
"211","P160","0"
"212","P292","0"
"213","P293","0"
"214","P483","0"
