"","sampleID","group"
"1","P1","3"
"2","P102","4"
"3","P103","4"
"4","P106","4"
"5","P107","1"
"6","P111","2"
"7","P113","3"
"8","P114","2"
"9","P115","5"
"10","P118","3"
"11","P119","3"
"12","P121","4"
"13","P124","3"
"14","P125","3"
"15","P127","2"
"16","P131","4"
"17","P137","3"
"18","P142","3"
"19","P146","3"
"20","P150","3"
"21","P156","4"
"22","P158","2"
"23","P16","3"
"24","P161","5"
"25","P164","5"
"26","P166","2"
"27","P168","5"
"28","P174","2"
"29","P184","3"
"30","P185","2"
"31","P189","1"
"32","P190","3"
"33","P192","2"
"34","P199","2"
"35","P2","3"
"36","P20","3"
"37","P200","2"
"38","P201","3"
"39","P204","4"
"40","P205","3"
"41","P206","4"
"42","P207","2"
"43","P22","4"
"44","P221","4"
"45","P227","1"
"46","P23","1"
"47","P233","2"
"48","P234","1"
"49","P235","3"
"50","P24","1"
"51","P243","3"
"52","P247","5"
"53","P248","2"
"54","P249","5"
"55","P257","1"
"56","P258","1"
"57","P259","4"
"58","P26","4"
"59","P261","3"
"60","P264","3"
"61","P265","5"
"62","P267","2"
"63","P268","2"
"64","P277","3"
"65","P278","5"
"66","P279","2"
"67","P280","2"
"68","P281","4"
"69","P285","2"
"70","P286","1"
"71","P287","1"
"72","P288","3"
"73","P29","3"
"74","P291","2"
"75","P296","1"
"76","P298","3"
"77","P3","3"
"78","P304","2"
"79","P309","2"
"80","P31","3"
"81","P32","4"
"82","P321","5"
"83","P322","2"
"84","P323","4"
"85","P325","1"
"86","P328","3"
"87","P329","3"
"88","P334","3"
"89","P337","4"
"90","P339","2"
"91","P347","2"
"92","P349","2"
"93","P35","3"
"94","P365","2"
"95","P367","1"
"96","P368","2"
"97","P372","2"
"98","P380","2"
"99","P387","4"
"100","P391","4"
"101","P395","4"
"102","P4","3"
"103","P403","4"
"104","P405","5"
"105","P412","1"
"106","P414","4"
"107","P416","4"
"108","P417","1"
"109","P418","3"
"110","P420","3"
"111","P423","3"
"112","P427","3"
"113","P428","4"
"114","P432","4"
"115","P44","2"
"116","P445","2"
"117","P45","3"
"118","P453","3"
"119","P454","4"
"120","P457","2"
"121","P459","5"
"122","P46","3"
"123","P462","4"
"124","P463","2"
"125","P464","3"
"126","P467","4"
"127","P469","3"
"128","P47","3"
"129","P470","3"
"130","P471","1"
"131","P473","2"
"132","P477","5"
"133","P482","4"
"134","P485","1"
"135","P486","3"
"136","P491","4"
"137","P494","3"
"138","P496","5"
"139","P502","5"
"140","P511","4"
"141","P524","2"
"142","P525","2"
"143","P527","3"
"144","P53","3"
"145","P540","4"
"146","P57","3"
"147","P58","3"
"148","P59","1"
"149","P6","3"
"150","P62","4"
"151","P63","4"
"152","P66","5"
"153","P67","2"
"154","P68","2"
"155","P69","4"
"156","P73","3"
"157","P74","1"
"158","P84","2"
"159","P9","3"
"160","P90","3"
"161","P92","3"
"162","P93","2"
"163","P94","3"
"164","P97","2"
