"","sampleID","number"
"1","P1","45"
"2","P102","9"
"3","P103","21"
"4","P105","10"
"5","P106","45"
"6","P113","1"
"7","P118","8"
"8","P119","2"
"9","P121","34"
"10","P122","1"
"11","P124","9"
"12","P127","1"
"13","P130","3"
"14","P131","56"
"15","P137","3"
"16","P142","1"
"17","P150","1"
"18","P156","5"
"19","P164","4"
"20","P168","1"
"21","P179","6"
"22","P18","1"
"23","P180","10"
"24","P182","15"
"25","P184","1"
"26","P189","6"
"27","P190","1"
"28","P20","9"
"29","P201","14"
"30","P204","25"
"31","P205","4"
"32","P209","4"
"33","P218","5"
"34","P221","37"
"35","P226","10"
"36","P234","2"
"37","P249","1"
"38","P259","29"
"39","P26","75"
"40","P261","2"
"41","P264","2"
"42","P265","2"
"43","P266","2"
"44","P273","1"
"45","P279","5"
"46","P281","9"
"47","P282","1"
"48","P288","2"
"49","P289","19"
"50","P291","1"
"51","P293","3"
"52","P298","3"
"53","P3","3"
"54","P304","4"
"55","P309","7"
"56","P31","7"
"57","P312","5"
"58","P32","54"
"59","P321","2"
"60","P323","10"
"61","P325","1"
"62","P328","1"
"63","P329","14"
"64","P33","59"
"65","P334","1"
"66","P337","6"
"67","P34","10"
"68","P340","4"
"69","P346","1"
"70","P347","2"
"71","P349","3"
"72","P35","9"
"73","P36","28"
"74","P367","8"
"75","P368","1"
"76","P372","2"
"77","P380","1"
"78","P387","1"
"79","P389","12"
"80","P39","1"
"81","P390","5"
"82","P391","37"
"83","P395","7"
"84","P399","3"
"85","P4","1"
"86","P403","13"
"87","P404","22"
"88","P407","3"
"89","P414","8"
"90","P416","6"
"91","P418","6"
"92","P423","1"
"93","P427","4"
"94","P428","43"
"95","P43","2"
"96","P432","21"
"97","P445","3"
"98","P45","34"
"99","P453","18"
"100","P454","53"
"101","P457","3"
"102","P459","4"
"103","P462","25"
"104","P464","2"
"105","P467","7"
"106","P469","9"
"107","P47","6"
"108","P470","1"
"109","P471","1"
"110","P472","17"
"111","P481","7"
"112","P482","17"
"113","P483","13"
"114","P486","8"
"115","P491","20"
"116","P5","14"
"117","P509","36"
"118","P510","18"
"119","P511","64"
"120","P520","14"
"121","P523","21"
"122","P525","6"
"123","P527","16"
"124","P528","33"
"125","P53","2"
"126","P540","28"
"127","P550","1"
"128","P567","14"
"129","P57","3"
"130","P574","4"
"131","P579","5"
"132","P58","2"
"133","P587","8"
"134","P592","3"
"135","P595","6"
"136","P6","1"
"137","P63","35"
"138","P64","1"
"139","P66","4"
"140","P67","4"
"141","P69","19"
"142","P70","21"
"143","P73","15"
"144","P9","8"
"145","P90","3"
"146","P92","2"
"147","P93","4"
"148","P96","3"
"149","P107","0"
"150","P114","0"
"151","P115","0"
"152","P125","0"
"153","P146","0"
"154","P158","0"
"155","P16","0"
"156","P161","0"
"157","P166","0"
"158","P174","0"
"159","P185","0"
"160","P192","0"
"161","P199","0"
"162","P2","0"
"163","P200","0"
"164","P206","0"
"165","P207","0"
"166","P227","0"
"167","P23","0"
"168","P233","0"
"169","P235","0"
"170","P24","0"
"171","P243","0"
"172","P247","0"
"173","P248","0"
"174","P257","0"
"175","P258","0"
"176","P267","0"
"177","P268","0"
"178","P277","0"
"179","P278","0"
"180","P280","0"
"181","P285","0"
"182","P286","0"
"183","P287","0"
"184","P296","0"
"185","P322","0"
"186","P339","0"
"187","P365","0"
"188","P405","0"
"189","P412","0"
"190","P417","0"
"191","P420","0"
"192","P44","0"
"193","P46","0"
"194","P463","0"
"195","P473","0"
"196","P477","0"
"197","P485","0"
"198","P494","0"
"199","P496","0"
"200","P502","0"
"201","P524","0"
"202","P59","0"
"203","P68","0"
"204","P74","0"
"205","P160","0"
"206","P172","0"
"207","P213","0"
"208","P270","0"
"209","P292","0"
"210","P394","0"
"211","P402","0"
"212","P498","0"
"213","P533","0"
"214","P71","0"
